t_rel,estop,throttle,brake,steer,mode
4.768844008,0,0.8560644388198853,0.0,0.5168691277503967,N
4.819043553,0,0.7792134284973145,0.0,0.6267586350440979,N
4.866982054,0,0.7754654884338379,0.0,0.6313899159431458,N
4.919459192,0,0.7528431415557861,0.0,0.6581999659538269,N
4.965824292,0,0.0,0.0,-0.0,N
5.01841927,0,0.0,0.0,-0.0,N
5.071391451,0,0.0,0.0,-0.0,N
5.116734355,0,0.9170046448707581,0.0,0.39887645840644836,N
5.168022708,0,0.9655429124832153,0.0,0.2602439820766449,N
5.218101465,0,0.9997550249099731,0.0,-0.022134797647595406,N
5.266528875,0,0.9763749837875366,0.0,-0.21608299016952515,N
5.317434713,0,0.8225679993629456,0.0,-0.344135582447052,N
5.372017567,0,0.0,0.0,-0.0,N
5.426272532,0,0.0,0.0,-0.0,N
5.468747901,0,0.0,0.0,-0.0,N
5.52207098,0,0.0,0.0,-0.0,N
5.574456443,0,0.0,0.0,-0.0,N
5.620020383,0,0.44181028008461,0.0,-0.27212953567504883,N
5.67255555,0,0.0,0.0,-0.0,N
5.724302486,0,0.0,0.0,-0.0,N
5.77821865,0,0.0,0.0,-0.0,N
5.823146494,0,0.3832254707813263,0.0,-0.28205394744873047,N
5.875265544,0,0.4634154140949249,0.0,-0.5190252661705017,N
5.926268149,0,0.4971226751804352,0.0,-0.7125424742698669,N
5.978391855,0,0.4730413854122162,0.0,-0.788402259349823,N
6.026623788,0,0.46766552329063416,0.0,-0.7865284085273743,N
6.082296466,0,0.46766552329063416,0.0,-0.7865284085273743,N
6.125971667,0,0.4657992124557495,0.0,-0.7791550755500793,N
6.177407244,0,0.46393558382987976,0.0,-0.7718201279640198,N
6.238292461,0,0.0,0.0,-0.0,N
6.280752212,0,0.0,0.0,-0.0,N
6.331485546,0,0.0,0.0,-0.0,N
6.380821213,0,0.0,0.0,-0.0,N
6.430801679,0,0.0,0.0397288054227829,0.08630740642547607,N
6.482857158,0,0.0,0.14889247715473175,0.15716427564620972,N
6.534154872,0,0.0,0.3131273686885834,0.20693634450435638,N
6.582252879,0,0.0,0.45176053047180176,0.24178732931613922,N
6.633480158,0,0.0,0.463146835565567,0.24443860352039337,N
6.685917767,0,0.0,0.463146835565567,0.24443860352039337,N
6.738582459,0,0.0,0.463146835565567,0.24443860352039337,N
6.793708678,0,0.0,0.463146835565567,0.24443860352039337,N
6.839313348,0,0.0,0.463146835565567,0.24443860352039337,N
6.897096752,0,0.0,0.463146835565567,0.24443860352039337,N
6.940268861,0,0.0,0.4746881127357483,0.2470979243516922,N
6.99054552,0,0.0,0.6526027321815491,0.2850448787212372,N
7.04023556,0,0.0,0.7605103254318237,0.30581367015838623,N
7.092732963,0,0.0,0.7893857359886169,0.3067561089992523,N
7.142150318,0,0.0,0.7893857359886169,0.3067561089992523,N
7.191688831,0,0.0,0.7880128622055054,0.30213963985443115,N
7.244858777,0,0.0,0.7880128622055054,0.30213963985443115,N
7.293964662,0,0.0,0.7880128622055054,0.30213963985443115,N
7.34733913,0,0.0,0.7880128622055054,0.30213963985443115,N
7.396598813,0,0.0,0.7880128622055054,0.30213963985443115,N
7.446348248,0,0.0,0.7880128622055054,0.30213963985443115,N
7.50305564,0,0.0,0.7880128622055054,0.30213963985443115,N
7.546154523,0,0.0,0.0,-0.0,N
7.603330001,0,0.0,0.0,-0.0,N
7.651719436,0,0.0,0.0,-0.0,N
7.703426018,0,0.0,0.12179019302129745,0.7231292724609375,N
7.754418935,0,0.0,0.12179019302129745,0.7231292724609375,N
7.799662014,0,0.007407204248011112,0.0,0.9999725818634033,N
7.850993923,0,0.016609003767371178,0.0,0.9998620748519897,N
7.90293101,0,0.015972403809428215,0.0,0.9998724460601807,N
7.948464401,0,0.015871016308665276,0.0,0.9998740553855896,N
8.001570615,0,0.015871016308665276,0.0,0.9998740553855896,N
8.051670966,0,0.015871016308665276,0.0,0.9998740553855896,N
8.100967344,0,0.015871016308665276,0.0,0.9998740553855896,N
8.181523602,0,0.015871016308665276,0.0,0.9998740553855896,N
8.208732707,0,0.015871016308665276,0.0,0.9998740553855896,N
8.251238953,0,0.015871016308665276,0.0,0.9998740553855896,N
8.308876605,0,0.015871016308665276,0.0,0.9998740553855896,N
8.357721731,0,0.015871016308665276,0.0,0.9998740553855896,N
8.402432557,0,0.015871016308665276,0.0,0.9998740553855896,N
8.454159989,0,0.015871016308665276,0.0,0.9998740553855896,N
8.504325078,0,0.015871016308665276,0.0,0.9998740553855896,N
8.598491393,0,0.015871016308665276,0.0,0.9998740553855896,N
8.609842404,0,0.015871016308665276,0.0,0.9998740553855896,N
8.656553448,0,0.015871016308665276,0.0,0.9998740553855896,N
8.713370263,0,0.015871016308665276,0.0,0.9998740553855896,N
8.758854724,0,0.015871016308665276,0.0,0.9998740553855896,N
8.815516428,0,0.015871016308665276,0.0,0.9998740553855896,N
8.860401118,0,0.015871016308665276,0.0,0.9998740553855896,N
8.910902912,0,0.015871016308665276,0.0,0.9998740553855896,N
8.966042863,0,0.015871016308665276,0.0,0.9998740553855896,N
9.01551415,0,0.015871016308665276,0.0,0.9998740553855896,N
9.062918563,0,0.015871016308665276,0.0,0.9998740553855896,N
9.116848829,0,0.015871016308665276,0.0,0.9998740553855896,N
9.167513416,0,0.015871016308665276,0.0,0.9998740553855896,N
9.213162711,0,0.015871016308665276,0.0,0.9998740553855896,N
9.265150428,0,0.015871016308665276,0.0,0.9998740553855896,N
9.319816183,0,0.015871016308665276,0.0,0.9998740553855896,N
9.36523158,0,0.015871016308665276,0.0,0.9998740553855896,N
9.416210677,0,0.015871016308665276,0.0,0.9998740553855896,N
9.464669471,0,0.015871016308665276,0.0,0.9998740553855896,N
9.514601578,0,0.015871016308665276,0.0,0.9998740553855896,N
9.568744878,0,0.015871016308665276,0.0,0.9998740553855896,N
9.617562152,0,0.015871016308665276,0.0,0.9998740553855896,N
9.665610464,0,0.015871016308665276,0.0,0.9998740553855896,N
9.715747124,0,0.015871016308665276,0.0,0.9998740553855896,N
9.775383625,0,0.015871016308665276,0.0,0.9998740553855896,N
9.819736479,0,0.015871016308665276,0.0,0.9998740553855896,N
9.86760088,0,0.015871016308665276,0.0,0.9998740553855896,N
9.922496437,0,0.015871016308665276,0.0,0.9998740553855896,N
9.968757433,0,0.015871016308665276,0.0,0.9998740553855896,N
10.024905824,0,0.015871016308665276,0.0,0.9998740553855896,N
10.070199612,0,0.015871016308665276,0.0,0.9998740553855896,N
10.121845956,0,0.015871016308665276,0.0,0.9998740553855896,N
10.170327719,0,0.015871016308665276,0.0,0.9998740553855896,N
10.225841779,0,0.015871016308665276,0.0,0.9998740553855896,N
10.270824994,0,0.019044164568185806,0.0,0.9998186230659485,N
10.331138073,0,0.019044164568185806,0.0,0.9998186230659485,N
10.37609863,0,0.019044164568185806,0.0,0.9998186230659485,N
10.425386955,0,0.019044164568185806,0.0,0.9998186230659485,N
10.475262569,0,0.019044164568185806,0.0,0.9998186230659485,N
10.526434045,0,0.019044164568185806,0.0,0.9998186230659485,N
10.580619473,0,0.019044164568185806,0.0,0.9998186230659485,N
10.631251214,0,0.019044164568185806,0.0,0.9998186230659485,N
10.697016812,0,0.019044164568185806,0.0,0.9998186230659485,N
10.732795317,0,0.019044164568185806,0.0,0.9998186230659485,N
10.781381468,0,0.019044164568185806,0.0,0.9998186230659485,N
10.835231778,0,0.019044164568185806,0.0,0.9998186230659485,N
10.885238053,0,0.019044164568185806,0.0,0.9998186230659485,N
10.930093028,0,0.019044164568185806,0.0,0.9998186230659485,N
10.990740878,0,0.019044164568185806,0.0,0.9998186230659485,N
11.049017592,0,0.019044164568185806,0.0,0.9998186230659485,N
11.082264677,0,0.019044164568185806,0.0,0.9998186230659485,N
11.143439557,0,0.019044164568185806,0.0,0.9998186230659485,N
11.188159462,0,0.019044164568185806,0.0,0.9998186230659485,N
