t_rel,L_cmd_rpm,R_cmd_rpm,L_meas_rpm,R_meas_rpm,L_pos_rev,R_pos_rev,v_target,w_target,v_slewed,w_slewed,v_after_imu,w_after_imu,yaw,yaw_rate,heading_locked,estop
18.477999628,-488.79510498046875,-488.79510498046875,-846.0,-789.0,-108.23979949951172,95.95570373535156,0.0,-0.0,-0.1624429076910019,0.0,-0.1624429076910019,0.0,0.0,0.0,0.0,0.0
18.497943856,-398.5242919921875,-398.5242919921875,-846.0,-789.0,-108.23979949951172,95.95570373535156,0.0,-0.0,-0.132442906498909,0.0,-0.132442906498909,0.0,0.0,0.0,0.0,0.0
18.517988343,-308.25347900390625,-308.25347900390625,-846.0,-789.0,-108.23979949951172,95.95570373535156,0.0,-0.0,-0.1024429053068161,0.0,-0.1024429053068161,0.0,0.0,0.0,0.0,0.0
18.538039422,-217.982666015625,-217.982666015625,-571.0,-446.0,-108.62069702148438,95.66999816894531,0.0,-0.0,-0.0724429041147232,0.0,-0.0724429041147232,0.0,0.0,0.0,0.0,0.0
18.557909344,-127.71186065673828,-127.71186065673828,-571.0,-446.0,-108.62069702148438,95.66999816894531,0.0,-0.0,-0.04244290664792061,0.0,-0.04244290664792061,0.0,0.0,0.0,0.0,0.0
18.577967464,-37.441043853759766,-37.441043853759766,-571.0,-446.0,-108.62069702148438,95.66999816894531,0.0,-0.0,-0.012442907318472862,0.0,-0.012442907318472862,0.0,0.0,0.0,0.0,0.0
18.598306616,0.0,0.0,-571.0,-446.0,-108.62069702148438,95.66999816894531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.618023604,0.0,0.0,-571.0,-446.0,-108.62069702148438,95.66999816894531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.637979033,0.0,0.0,-263.0,-166.0,-108.52549743652344,95.71759796142578,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.657933181,0.0,0.0,-263.0,-166.0,-108.52549743652344,95.71759796142578,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.678007301,15.851554870605469,104.50952911376953,-263.0,-166.0,-108.52549743652344,95.71759796142578,1.0981765985488892,0.07626226544380188,0.019999999552965164,0.03999999910593033,0.019999999552965164,0.03999999910593033,0.0,0.0,0.0,0.0
18.697965577,35.845359802246094,204.87680053710938,-263.0,-166.0,-108.52549743652344,95.71759796142578,1.0981765985488892,0.07626226544380188,0.03999999910593033,0.07626226544380188,0.03999999910593033,0.07626226544380188,0.0,0.0,0.0,0.0
18.718090387,96.0259017944336,265.0573425292969,-263.0,-166.0,-108.52549743652344,95.71759796142578,1.0981765985488892,0.07626226544380188,0.05999999865889549,0.07626226544380188,0.05999999865889549,0.07626226544380188,0.0,0.0,0.0,0.0
18.738041623,156.20643615722656,325.2378845214844,6.0,-11.0,-108.47789764404297,95.78900146484375,1.0981765985488892,0.07626226544380188,0.07999999821186066,0.07626226544380188,0.07999999821186066,0.07626226544380188,0.0,0.0,0.0,0.0
18.757922777,216.38697814941406,385.4184265136719,6.0,-11.0,-108.47789764404297,95.78900146484375,1.0981765985488892,0.07626226544380188,0.10000000149011612,0.07626226544380188,0.10000000149011612,0.07626226544380188,0.0,0.0,0.0,0.0
18.778004385,320.8965148925781,401.2699890136719,6.0,-11.0,-108.47789764404297,95.78900146484375,1.2707993984222412,-0.03683476522564888,0.11999999731779099,0.03626226633787155,0.11999999731779099,0.03626226633787155,0.0,0.0,0.0,0.0
18.798325936,425.4060363769531,417.1215515136719,6.0,-11.0,-108.47789764404297,95.78900146484375,1.2707993984222412,-0.03683476522564888,0.14000000059604645,-0.003737734630703926,0.14000000059604645,-0.003737734630703926,0.0,0.0,0.0,0.0
18.818708578,529.9155883789062,432.97308349609375,6.0,-11.0,-108.47789764404297,95.78900146484375,1.490341067314148,-0.11330078542232513,0.1599999964237213,-0.043737735599279404,0.1599999964237213,-0.043737735599279404,0.0,0.0,0.0,0.0
18.838001554,634.4251098632812,448.82464599609375,46.0,40.0,-108.4302978515625,95.8604965209961,1.490341067314148,-0.11330078542232513,0.18000000715255737,-0.08373773097991943,0.18000000715255737,-0.08373773097991943,0.0,0.0,0.0,0.0
18.857910548,727.3681640625,476.24267578125,46.0,40.0,-108.4302978515625,95.8604965209961,1.490341067314148,-0.11330078542232513,0.20000000298023224,-0.11330078542232513,0.20000000298023224,-0.11330078542232513,0.0,0.0,0.0,0.0
18.877954747,809.3303833007812,514.6415405273438,46.0,40.0,-108.4302978515625,95.8604965209961,1.4866830110549927,-0.1329553872346878,0.2199999988079071,-0.1329553872346878,0.2199999988079071,-0.1329553872346878,0.0,0.0,0.0,0.0
18.898025251,869.5109252929688,574.8220825195312,46.0,40.0,-108.4302978515625,95.8604965209961,1.4866830110549927,-0.1329553872346878,0.23999999463558197,-0.1329553872346878,0.23999999463558197,-0.1329553872346878,0.0,0.0,0.0,0.0
18.917931055,929.6914672851562,635.0026245117188,46.0,40.0,-108.4302978515625,95.8604965209961,1.4866830110549927,-0.1329553872346878,0.25999999046325684,-0.1329553872346878,0.25999999046325684,-0.1329553872346878,0.0,0.0,0.0,0.0
18.938003003,989.8720092773438,695.1831665039062,154.0,91.0,-107.64459991455078,96.1698989868164,1.4866830110549927,-0.1329553872346878,0.2800000011920929,-0.1329553872346878,0.2800000011920929,-0.1329553872346878,0.0,0.0,0.0,0.0
18.95800042,1044.9393310546875,760.4768676757812,154.0,91.0,-107.64459991455078,96.1698989868164,1.4875950813293457,-0.12834152579307556,0.30000001192092896,-0.12834152579307556,0.30000001192092896,-0.12834152579307556,0.0,0.0,0.0,0.0
18.97800187,1103.4927978515625,822.2844848632812,154.0,91.0,-107.64459991455078,96.1698989868164,1.4878783226013184,-0.12687334418296814,0.3199999928474426,-0.12687334418296814,0.3199999928474426,-0.12687334418296814,0.0,0.0,0.0,0.0
18.998063801,1163.67333984375,882.4650268554688,154.0,91.0,-107.64459991455078,96.1698989868164,1.4878783226013184,-0.12687334418296814,0.3400000035762787,-0.12687334418296814,0.3400000035762787,-0.12687334418296814,0.0,0.0,0.0,0.0
19.017970784,1223.8538818359375,942.6455688476562,154.0,91.0,-107.64459991455078,96.1698989868164,1.4878783226013184,-0.12687334418296814,0.36000001430511475,-0.12687334418296814,0.36000001430511475,-0.12687334418296814,0.0,0.0,0.0,0.0
19.037973674,1284.034423828125,1002.8261108398438,480.0,240.0,-106.09719848632812,96.88410186767578,1.4878783226013184,-0.12687334418296814,0.3799999952316284,-0.12687334418296814,0.3799999952316284,-0.12687334418296814,0.0,0.0,0.0,0.0
19.05812076,1344.2149658203125,1063.0067138671875,480.0,240.0,-106.09719848632812,96.88410186767578,1.4878783226013184,-0.12687334418296814,0.4000000059604645,-0.12687334418296814,0.4000000059604645,-0.12687334418296814,0.0,0.0,0.0,0.0
19.077921692,1404.3955078125,1123.187255859375,480.0,240.0,-106.09719848632812,96.88410186767578,1.4878783226013184,-0.12687334418296814,0.41999998688697815,-0.12687334418296814,0.41999998688697815,-0.12687334418296814,0.0,0.0,0.0,0.0
19.098031592,1464.5760498046875,1183.3677978515625,480.0,240.0,-106.09719848632812,96.88410186767578,1.4878783226013184,-0.12687334418296814,0.4399999976158142,-0.12687334418296814,0.4399999976158142,-0.12687334418296814,0.0,0.0,0.0,0.0
19.118007825,1524.756591796875,1243.54833984375,480.0,240.0,-106.09719848632812,96.88410186767578,1.4878783226013184,-0.12687334418296814,0.46000000834465027,-0.12687334418296814,0.46000000834465027,-0.12687334418296814,0.0,0.0,0.0,0.0
19.138032828,1580.741943359375,1307.924072265625,829.0,434.0,-104.40699768066406,97.95539855957031,1.488593578338623,-0.12308784574270248,0.47999998927116394,-0.12308784574270248,0.47999998927116394,-0.12308784574270248,0.0,0.0,0.0,0.0
19.157924482,1640.9224853515625,1368.1044921875,829.0,434.0,-104.40699768066406,97.95539855957031,1.488593578338623,-0.12308784574270248,0.5,-0.12308784574270248,0.5,-0.12308784574270248,0.0,0.0,0.0,0.0
19.177991758,1701.10302734375,1428.2850341796875,829.0,434.0,-104.40699768066406,97.95539855957031,1.488593578338623,-0.12308784574270248,0.5199999809265137,-0.12308784574270248,0.5199999809265137,-0.12308784574270248,0.0,0.0,0.0,0.0
19.197974359,1761.2835693359375,1488.465576171875,829.0,434.0,-104.40699768066406,97.95539855957031,1.488593578338623,-0.12308784574270248,0.5400000214576721,-0.12308784574270248,0.5400000214576721,-0.12308784574270248,0.0,0.0,0.0,0.0
19.217968864,1821.464111328125,1548.6461181640625,829.0,434.0,-104.40699768066406,97.95539855957031,1.488593578338623,-0.12308784574270248,0.5600000023841858,-0.12308784574270248,0.5600000023841858,-0.12308784574270248,0.0,0.0,0.0,0.0
19.237964458,1877.443603515625,1613.02783203125,1034.0,623.0,-102.57389831542969,99.21720123291016,1.4892878532409668,-0.11929696798324585,0.5799999833106995,-0.11929696798324585,0.5799999833106995,-0.11929696798324585,0.0,0.0,0.0,0.0
19.257895281,1937.6241455078125,1673.2083740234375,1034.0,623.0,-102.57389831542969,99.21720123291016,1.4892878532409668,-0.11929696798324585,0.6000000238418579,-0.11929696798324585,0.6000000238418579,-0.11929696798324585,0.0,0.0,0.0,0.0
