t_rel,x,y,yaw_q_z,yaw_q_w,vx,wz
2.061296053,-1.2625081471314432,-0.5434753785510477,-0.9732379297320309,0.2297997652977705,0.6837758333333332,-0.025716806950855337
2.11061619,-1.2926827616532648,-0.5585423998080774,-0.973383482067189,0.22918245316505828,0.6837758333333332,-0.025716806950855337
2.16130199,-1.3234808186908351,-0.5738787488819795,-0.9734881743240323,0.22873734817747288,0.678957,-0.018046882070775698
2.210833937,-1.3534758196566012,-0.5887814407918545,-0.9735898954732479,0.22830399784583294,0.678957,-0.018046882070775698
2.261297113,-1.384302218217758,-0.6040572690117407,-0.9737254274354593,0.22772525544091943,0.678957,-0.023460946692008225
2.310824068,-1.414326223128263,-0.6188916353770172,-0.9738570245571271,0.2271618271645552,0.678957,-0.023460946692008225
2.361278861,-1.445265870460134,-0.6341337236016421,-0.9739892643809159,0.22659415895102453,0.6807848333333333,-0.023009774640238925
2.410852562,-1.4754207910096087,-0.6489461309877609,-0.9741177591091357,0.22604112764759418,0.6807848333333333,-0.023009774640238925
2.461302492,-1.5064390273307244,-0.6641409685672571,-0.9742338793650396,0.22554012569240423,0.6817818333333333,-0.02030274232962266
2.510844709,-1.536649648473645,-0.678902180850545,-0.9743466725672206,0.22505235314740737,0.6817818333333333,-0.02030274232962266
2.561314924,-1.567669315953116,-0.6940118142294006,-0.9745085242386301,0.22435047623360943,0.6807848333333334,-0.028423839261471604
2.61088856,-1.5978820856022107,-0.708675313027911,-0.9746655712992625,0.2236672173651793,0.6807848333333334,-0.028423839261471604
2.66142507,-1.628916773371663,-0.7236783856524391,-0.9748547856308898,0.22284107999323638,0.678957,-0.033386731830934976
2.710646532,-1.6590311646293123,-0.7381745932062715,-0.9750375726520483,0.22203993315798334,0.678957,-0.033386731830934976
2.761391396,-1.6901897785132578,-0.7531195459637693,-0.9751670777401774,0.22147047318250537,0.6807848333333333,-0.023009774640238925
2.81083382,-1.7204319664744567,-0.767582168195868,-0.9752923868335537,0.22091799425241482,0.6807848333333333,-0.023009774640238925
